"","Day","modColor","KEGGID_pathway","pathway.name","Num.genes.all","Num.genes.exp","Gene.IDs","Rich_factor","pvalue","log10_pvalue","qvalue"
"1","Day 0","blue","crg04136","Autophagy - other",28,17,"105343707/105320700/105336676/105318708/105342150/105329824/105338878/105335109/105339849/105322922/105338320/105320190/105320687/105340241/105341231/105334768/105331926",0.607142857142857,0.000000106659369889994,6.97200098632075,0.00000572592406777863
"2","Day 0","blue","crg00562","Inositol phosphate metabolism",48,20,"105331084/105335996/105335845/105334177/105321837/105331286/105346575/105340044/105347500/105329464/105341855/105338399/105331671/105329971/105336889/105348463/105337850/105318437/105321057/105343409",0.416666666666667,0.0000207260531912223,4.6834833916093,0.000445064721158878
"3","Day 0","blue","crg04140","Autophagy - animal",135,56,"105318403/105318588/105321000/105342662/105340989/105345634/105334889/105321629/105343707/105342791/105341321/105320700/105336676/105318708/105342150/105329824/105321014/105321193/105321837/105331286/105318591/105338878/105337064/105335109/105339849/105335025/105347620/105346575/105334740/105347054/105338358/105343010/105322922/105344588/105338320/105338600/105335164/105332318/105344371/105325397/105342014/105334418/105336892/105333888/105323825/105322995/105320190/105338680/105320687/105322496/105340241/105341231/105319833/105334768/105331926/105327489",0.414814814814815,0.000000000000887637839327219,12.0517641924013,0.0000000000953042732751330
"4","Day 0","blue","crg04310","Wnt signaling pathway",109,39,"105324971/105348240/105332042/105345605/105347794/105328476/105328278/105322000/105328475/105326975/105323305/105342278/105335066/105341654/105341116/105346960/105322045/105321198/105349031/105348242/105323165/105332318/105340175/105347806/105343871/105334024/105341767/105324984/105319741/105348704/105333108/105321105/105334062/105346012/105337984/105325013/105341513/105343409/105329818",0.357798165137615,0.000000349422938460143,6.45664858842101,0.0000125056630606788
"5","Day 0","blue","crg04137","Mitophagy - animal",85,29,"105318588/105321000/105340989/105320604/105345634/105338002/105329658/105318783/105319044/105342525/105320700/105318331/105343202/105329824/105341654/105321193/105318591/105340300/105335025/105347620/105342338/105343010/105343410/105344588/105325397/105342014/105332371/105319833/105331926",0.341176470588235,0.0000321273073443928,4.49312567203565,0.000574909710373345
"6","Day 0","blue","crg04144","Endocytosis",190,54,"105322237/105342151/105338002/105328967/105323265/105341616/105330801/105326340/105345128/105323313/105318344/105339370/105342944/105325897/105332782/105327949/105328477/105332783/105337934/105325532/105330661/105340300/105333773/105319304/105336965/105347620/105334621/105321861/105334470/105347356/105342004/105341030/105327960/105337075/105320076/105346975/105325544/105334479/105347010/105324517/105321025/105333107/105330715/105342245/105321105/105343449/105343894/105338738/105327432/105347197/105337984/105318607/105321057/105347459",0.284210526315789,0.00000923558004574836,5.03453582326035,0.000247902411754298
