"","MEblack","MEblue","MEbrown","MEgreen","MEred","MEturquoise","MEyellow"
"LFA_t3",0.233146981585351,-0.288161541673849,0.0600734891310383,-0.39542430129742,0.371374455831376,0.297125454366745,-0.254000216496878
"LFB_t3",0.302629174907225,-0.290547402893702,0.1328046810739,-0.452380291032582,0.414924642419033,0.285856205246668,-0.330233793291773
"LFC_t3",0.2757941248476,-0.300706647776841,0.0872254621571303,-0.408615474962425,0.392050274645622,0.285665845318987,-0.287923244077196
"LSA_t3",0.255684267855542,0.259122069634377,0.289490466156509,-0.070166757961327,0.13049856321294,-0.272287065541301,-0.263112033032223
"LSB_t3",0.36094539956111,0.252225227475369,0.421286784338286,-0.109255669754024,0.19160366465522,-0.263030695555572,-0.28559335382058
"LSC_t3",0.27596764190121,0.338298125503552,0.354274170731983,-0.0608528132564405,0.110088692424678,-0.36875271338758,-0.297698985709247
"WFA_t3",-0.355354120957746,-0.290852258601512,-0.446661038532357,0.144907547692181,-0.205534984227733,0.280401435615798,0.346465824382714
"WFB_t3",-0.352842235747051,-0.27137417164185,-0.455642304016265,0.13905666214111,-0.193677894246522,0.274652589643464,0.326503068744132
"WFC_t3",-0.321393600614981,-0.283908245937879,-0.420274191458221,0.125099527162172,-0.17316351543795,0.298621470917713,0.315411674884417
"WSA_t3",-0.227468645873374,0.253805374803966,-0.023323552193845,0.334934019773139,-0.316091518090849,-0.231385744936175,0.248045355903637
"WSB_t3",-0.20909328378661,0.319689664761277,0.00574347770754462,0.373233996686735,-0.362503863105395,-0.300993051565371,0.230290951877648
"WSC_t3",-0.238015703678275,0.302409806347092,-0.00499744509570249,0.379463554808881,-0.35956851808042,-0.285873730123376,0.251844750635348
