"","TranscriptID","LFA_t3","LFB_t3","LFC_t3","LSA_t3","LSB_t3","LSC_t3","WFA_t3","WFB_t3","WFC_t3","WSA_t3","WSB_t3","WSC_t3"
"1","LOC111126949",3.78929075261735,3.78072502831672,3.53688409088932,3.98848544697301,3.78625653991868,3.45930958454981,3.13130561769698,3.01689070125273,3.58689061519178,3.48397878967369,3.6897489819965,3.63873900727602
"2","LOC111120752",4.14808494805332,4.272672826753,4.30059644607629,3.69444751009812,3.70411273507345,3.70898696742156,4.45365514601828,4.19887022026197,4.20073884094379,3.76386875441762,3.78784041711335,3.63519311026009
"3","LOC111113860",4.82325237591403,4.8076880336221,4.89852153728841,4.80931408638486,4.89193896535865,4.78686183632308,4.98889900175392,5.14725701412693,5.11935637689305,4.7922396748438,4.578804780851,4.68430574211087
"4","LOC111109452",8.32191620032225,8.45225534553007,8.37238950406,9.5064456574158,9.70262443106606,9.67308015220639,8.08065386945143,8.03214966892697,8.31260028260457,9.60451209875563,9.62981655395774,9.53949142542913
"5","LOC111124802",6.77827334237154,6.78582712128153,6.65739788435695,7.21346772150889,7.09916983672238,7.20939706904359,6.7417329319936,6.75948879138881,6.77594280313168,7.08785803313214,6.95933730275573,7.05790608215148
"6","LOC111101273",4.93572653445082,4.86313654155741,5.00338594033316,4.29453530963938,4.55562201980523,4.68157934900903,4.75471730987108,5.21014727817077,5.0854591661539,4.35473754578696,4.65502301600319,4.33689714603881
"7","LOC111101250",5.02701342815221,5.48358601421743,5.23898071290197,5.56872211726669,5.71497333604225,5.6508309651712,4.84221020374161,5.27694747199092,5.38388379482241,5.61507149481421,5.67445717203145,5.70259047454193
"8","LOC111101262",8.3771497995693,8.25093757775552,8.27469064333989,8.51664585595738,8.42268742079913,8.54990559671123,8.59768860951892,8.42329202231262,8.23725794627665,8.67514490761726,8.66925459049262,8.65959383330854
"9","LOC111133260",4.48687391743903,4.57819014107559,4.66399699330874,5.13782991408252,5.1821335261768,5.34462282471244,4.2838287556138,4.53205780339414,4.73250790249282,4.77793421617549,4.80746057647354,4.84448575186606
"10","LOC111102393",5.0870744983022,4.83706659356424,4.82333598944399,6.13591927065419,6.45227448586713,6.23011396122642,4.83067332461402,4.59093001042572,4.9784632153405,5.7034639278433,5.93188258861195,5.45763110627663
"11","LOC111101799",8.14687258379353,8.25958822067325,8.14717626924082,7.50309930899532,7.92889508816792,7.4036468591099,8.03278707806641,8.05215817472054,8.20358979534327,7.50428987956627,7.44065739663123,7.49820331886906
"12","LOC111117743",7.50987357275468,7.61893956479011,7.701052135833,6.5490943278226,6.76966763043605,6.67636979083982,7.40629467770193,7.32881013965215,7.40678872541845,6.6227623024227,6.64472684175314,6.62620090848579
"13","LOC111117672",7.71494051707535,7.63625503867608,7.62480551420192,6.7086425734403,6.64742964543978,6.39705049475318,7.79854530030019,7.54790745914913,7.52803735204633,6.79292323647811,6.71390897681885,6.92689907251674
"14","LOC111102064",4.86742479248874,4.8163382911341,4.86540231970762,4.21668374245475,4.74054656188488,4.28748683441778,4.88338171075019,4.50070482209194,4.87151611045561,4.52667639472404,4.23045335520528,4.14439864418131
"15","LOC111112773",5.09691181517159,5.15115328676531,5.05852558789027,6.27341660320843,6.26248479835634,6.29097530528011,4.98519935468324,4.83767883715463,4.77391812006656,5.95023376147634,6.07490425947695,6.23249130480208
"16","LOC111135172",4.02728636667805,4.35714057323308,4.3532545798445,4.39763358037424,4.09481107912997,4.30403315464416,3.77132952416989,4.48548625270087,4.14827043106571,3.7664419198412,4.1558329363447,4.03821306234398
"17","LOC111114201",5.15946806431071,5.0286415914983,5.11904363711265,5.35587595430944,5.48345867609021,5.07887548610977,4.85428733354602,4.98228409343731,5.06436061135231,5.17063909430459,5.46345484033665,5.33109558575756
"18","LOC111114212",7.05019585768629,7.02842600863223,7.11874974717728,6.8029819435055,6.58105438671562,6.6644373083201,7.01505482268118,6.8890604391364,6.84548640817865,6.63060632280761,6.78918709789299,6.73565936250054
