"","Day","modColor","ontology","term","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat"
"1","Day1","greenyellow","BP","ribosome biogenesis","GO:0042254",2.41798549910901e-25,1,61,212
"2","Day1","greenyellow","BP","translation","GO:0006412",2.96543947304348e-23,1,58,215
"3","Day1","greenyellow","BP","biosynthetic process","GO:0009058",7.86197567653513e-05,0.999948126505103,125,1673
"4","Day1","greenyellow","BP","cellular nitrogen compound metabolic process","GO:0034641",9.12899224683252e-05,0.999941454352986,107,1387
"5","Day1","greenyellow","BP","generation of precursor metabolites and energy","GO:0006091",0.00082149728384771,0.999709674267568,17,131
"6","Day1","greenyellow","BP","carbohydrate metabolic process","GO:0005975",0.00380423577923226,0.997988316269961,30,346
"7","Day1","greenyellow","BP","catabolic process","GO:0009056",0.00387211761341551,0.997840058341225,35,419
"8","Day1","greenyellow","BP","small molecule metabolic process","GO:0044281",0.00474745218197596,0.997148714575233,43,536
"9","Day1","greenyellow","BP","biological process involved in symbiotic interaction","GO:0044403",0.0222375839939987,0.999022422264233,2,4
"10","Day1","greenyellow","BP","cell wall organization or biogenesis","GO:0071554",0.0247429804962726,0.995422751623035,4,20
"11","Day1","greenyellow","BP","transmembrane transport","GO:0055085",0.0382012082921438,0.978026936088337,21,268
"12","Day1","greenyellow","BP","homeostatic process","GO:0042592",0.0422539185545659,0.979291421585949,13,144
"13","Day1","greenyellow","BP","tRNA metabolic process","GO:0006399",0.0493645987705851,0.976910950642066,11,121
"14","Day1","greenyellow","MF","structural constituent of ribosome","GO:0003735",4.58722367810478e-27,1,54,150
"15","Day1","greenyellow","MF","oxidoreductase activity","GO:0016491",2.61015174025655e-11,1,94,869
"16","Day1","greenyellow","MF","peptidase activity","GO:0008233",0.00105909278308466,0.999383223728038,51,641
"17","Day1","greenyellow","MF","RNA binding","GO:0003723",0.00178373087621922,0.999143527594146,27,281
"18","Day1","greenyellow","MF","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","GO:0016810",0.00261220325604319,0.999167266708039,12,87
"19","Day1","greenyellow","MF","structural molecule activity","GO:0005198",0.00866316490900364,0.997096795017171,10,84
"20","Day1","greenyellow","MF","DNA binding","GO:0003677",0.0110075172429845,0.992318065173222,68,955
"21","Day1","greenyellow","MF","rRNA binding","GO:0019843",0.0142858653762138,0.998660060353884,3,9
"22","Day1","greenyellow","MF","isomerase activity","GO:0016853",0.0180240051118648,0.99323566030661,10,85
"23","Day1","greenyellow","MF","methyltransferase activity","GO:0008168",0.0233216635609565,0.989154291045241,14,145
"24","Day1","greenyellow","MF","translation factor activity, RNA binding","GO:0008135",0.025463115714918,0.991941906772565,7,53
"25","Day1","greenyellow","MF","DNA-binding transcription factor activity","GO:0003700",0.0331668974880116,0.980201109953369,25,324
"26","Day1","greenyellow","MF","GTPase activity","GO:0003924",0.039610779270636,0.977176381270821,21,242
"27","Day1","green","BP","protein folding","GO:0006457",1.42229214712775e-14,1,21,68
"28","Day1","green","BP","cellular nitrogen compound metabolic process","GO:0034641",4.7740146240944e-08,1,96,1387
"29","Day1","green","BP","biosynthetic process","GO:0009058",7.48683561875068e-08,1,111,1673
"30","Day1","green","BP","cytoskeleton organization","GO:0007010",2.55783768279612e-07,0.999999931631182,26,172
"31","Day1","green","BP","protein targeting","GO:0006605",4.11049540786702e-06,0.999999586546466,9,38
"32","Day1","green","BP","cellular component assembly","GO:0022607",1.31956268050163e-05,0.999996739303769,17,123
"33","Day1","green","BP","vesicle-mediated transport","GO:0016192",1.97640841240601e-05,0.9999927745725,28,275
"34","Day1","green","BP","membrane organization","GO:0061024",8.92107405391162e-05,0.999992663324609,6,22
"35","Day1","green","BP","cell cycle","GO:0007049",0.000493740592016897,0.999853947804241,14,111
"36","Day1","green","BP","protein-containing complex assembly","GO:0065003",0.000499143865769014,0.99982923318299,17,179
"37","Day1","green","BP","tRNA metabolic process","GO:0006399",0.00115640297925413,0.999641555353487,13,121
"38","Day1","green","BP","small molecule metabolic process","GO:0044281",0.00168804639179817,0.999095223828939,36,536
"39","Day1","green","BP","ribonucleoprotein complex assembly","GO:0022618",0.00333279345268526,0.999398803967159,6,40
"40","Day1","green","BP","sulfur compound metabolic process","GO:0006790",0.0053471967328249,0.998199294223521,11,122
"41","Day1","green","BP","mitochondrion organization","GO:0007005",0.0058131726367743,0.998284906621025,9,88
"42","Day1","green","BP","ribosome biogenesis","GO:0042254",0.00995775570838272,0.995796522293049,14,212
"43","Day1","green","BP","homeostatic process","GO:0042592",0.0116039687644441,0.995233277002047,13,144
"44","Day1","green","BP","mRNA processing","GO:0006397",0.0190236290909992,0.992714607526692,10,115
"45","Day1","green","BP","transport","GO:0006810",0.0216434552152196,0.989135919440416,17,223
"46","Day1","green","BP","nucleobase-containing compound catabolic process","GO:0034655",0.0220989263367731,0.991849088538883,9,100
"47","Day1","green","MF","unfolded protein binding","GO:0051082",1.44621593147724e-11,1,15,41
"48","Day1","green","MF","translation factor activity, RNA binding","GO:0008135",6.26734993447545e-09,0.999999999380907,14,53
"49","Day1","green","MF","RNA binding","GO:0003723",4.6195921191202e-06,0.999998380393717,30,281
"50","Day1","green","MF","ATP hydrolysis activity","GO:0016887",9.59046599200791e-05,0.999964063948502,25,203
"51","Day1","green","MF","isomerase activity","GO:0016853",0.00117637779389133,0.999702651543465,10,85
"52","Day1","green","MF","oxidoreductase activity","GO:0016491",0.00118298991477702,0.999302116374675,52,869
"53","Day1","green","MF","ligase activity","GO:0016874",0.00120268364836603,0.999606773267929,14,127
"54","Day1","green","MF","cytoskeletal protein binding","GO:0008092",0.00168664556985101,0.999281234018873,21,207
"55","Day1","green","MF","DNA-binding transcription factor activity","GO:0003700",0.00325163298500924,0.998434816419312,24,324
"56","Day1","green","MF","transferase activity, transferring alkyl or aryl (other than methyl) groups","GO:0016765",0.00634919862227321,0.998916493825044,5,36
"57","Day1","green","MF","ion binding","GO:0043167",0.00901525881286996,0.992605315690164,258,5162
"58","Day1","green","MF","lipid binding","GO:0008289",0.0273500225117916,0.987799559412568,12,157
"59","Day1","green","MF","acyltransferase activity","GO:0016746",0.0316272504619835,0.986807608080474,10,128
"60","Day1","brown","BP","cellular nitrogen compound metabolic process","GO:0034641",3.15071635775219e-09,1,227,1387
"61","Day1","brown","BP","cytoskeleton organization","GO:0007010",2.57543941002229e-07,0.999999899997987,52,172
"62","Day1","brown","BP","vesicle-mediated transport","GO:0016192",3.51003494074633e-07,1,64,275
"63","Day1","brown","BP","cellular component assembly","GO:0022607",1.24137776845204e-05,0.999995454504739,33,123
"64","Day1","brown","BP","ribonucleoprotein complex assembly","GO:0022618",0.000148351501854833,0.999967321023282,13,40
"65","Day1","brown","BP","sulfur compound metabolic process","GO:0006790",0.000180521598768618,0.99993024498065,26,122
"66","Day1","brown","BP","mitochondrion organization","GO:0007005",0.000212888468491587,0.999927200379605,21,88
"67","Day1","brown","BP","catabolic process","GO:0009056",0.000281297576204257,0.999830638472997,76,419
"68","Day1","brown","BP","protein maturation","GO:0051604",0.00122276607307568,0.999692387683264,11,39
"69","Day1","brown","BP","mRNA processing","GO:0006397",0.00202280298193535,0.999088552967791,25,115
